Source;Length
Small site;1,018
Small site;1,465
Small site;1,184
Small site;1,018
Small site;1,474
Small site;1,351
Small site;3,383
Small site;1,198
Small site;0,955
Small site;2,758
Small site;3,212
Small site;1,584
Small site;2,416
Small site;4,655
Small site;2,468
Small site;2,471
Small site;4,412
Small site;2,363
Small site;4,108
Small site;2,535
Small site;4,647
Small site;4,337
Small site;4,795
Small site;4,881
Small site;0,958
Small site;0,891
Small site;1,383
Small site;1,24
Small site;1,071
Small site;1,158
Small site;1,041
Small site;1,22
Small site;1,215
Small site;2,552
Small site;4,443
Small site;4,813
Small site;4,912
Small site;4,988
Small site;1,017
Small site;3,832
Small site;4,997
Small site;0,352
Small site;0,857
Small site;1,115
Small site;1,555
Small site;1,268
Small site;1,094
Small site;1,533
Small site;3,116
Small site;3,41
Small site;1,151
Small site;1,646
Small site;2,472
Small site;4,665
Small site;2,525
Small site;2,532
Small site;4,43
Small site;2,433
Small site;4,135
Small site;2,607
Small site;4,671
Small site;4,368
Small site;4,822
Small site;4,909
Small site;1,019
Small site;0,791
Small site;1,054
Small site;0,985
Small site;0,828
Small site;1,471
Small site;1,325
Small site;1,152
Small site;1,224
Small site;1,094
Small site;1,276
Small site;1,245
Small site;2,616
Small site;4,463
Small site;1,109
Small site;0,153
Small site;1,047
Small site;1,311
Small site;1,741
Small site;0,746
Small site;1,446
Small site;1,263
Small site;1,67
Small site;2,198
Small site;3,19
Small site;3,481
Small site;1,786
Small site;3,132
Small site;2,601
Small site;2,655
Small site;2,667
Small site;4,484
Small site;2,587
Small site;4,206
Small site;2,763
Small site;4,735
Small site;4,447
Small site;4,892
Small site;4,983
Small site;1,212
Small site;1,25
Small site;1,178
Small site;1,02
Small site;1,657
Small site;1,505
Small site;1,328
Small site;1,376
Small site;1,226
Small site;1,41
Small site;2,759
Small site;4,52
Small site;1,525
Small site;1,299
Small site;0,352
Small site;0,153
Small site;1,198
Small site;1,459
Small site;1,879
Small site;0,873
Small site;1,578
Small site;1,39
Small site;1,771
Small site;2,301
Small site;3,083
Small site;3,239
Small site;3,527
Small site;0,441
Small site;1,889
Small site;3,172
Small site;2,995
Small site;2,693
Small site;4,723
Small site;2,748
Small site;2,764
Small site;4,514
Small site;2,699
Small site;4,25
Small site;3,815
Small site;2,875
Small site;3,458
Small site;4,773
Small site;4,497
Small site;4,934
Small site;1,363
Small site;1,129
Small site;1,397
Small site;1,323
Small site;1,164
Small site;1,795
Small site;1,639
Small site;1,458
Small site;1,489
Small site;1,327
Small site;1,511
Small site;2,541
Small site;2,861
Small site;4,553
Small site;1,52
Small site;1,441
Small site;1,862
Small site;1,246
Small site;1,213
Small site;1,086
Small site;1,734
Small site;0,648
Small site;0,447
Small site;0,657
Small site;2,056
Small site;1,583
Small site;1,05
Small site;1,194
Small site;1,416
Small site;1,402
Small site;1,586
Small site;1,477
Small site;1,615
Small site;1,723
Small site;2,028
Small site;2,027
Small site;2,595
Small site;1,404
Small site;0,473
Small site;1,136
Small site;1,842
Small site;1,638
Small site;1,486
Small site;1,735
Small site;1,804
Small site;1,902
Small site;2,633
Small site;2,449
Small site;2,046
Small site;2,065
Small site;2,011
Small site;2,16
Small site;2,43
Small site;0,548
Small site;0,765
Small site;1,293
Small site;1,873
Small site;2,749
Small site;2,378
Small site;2,993
Small site;1,768
Small site;3,013
Small site;3,115
Small site;1,853
Small site;1,933
Small site;3,441
Small site;2,159
Small site;2,377
Small site;2,744
Small site;2,278
Small site;2,338
Small site;2,384
Small site;2,431
Small site;2,487
Small site;2,521
Small site;2,712
Small site;2,614
Small site;2,765
Small site;3,269
Small site;0,082
Small site;0,332
Small site;0,136
Small site;3,456
