REAL_SITES;SIZE_SITES;ELEVATION_SITES;SITE_TYPE
73;1939;548;Small sites
51;1939;590;Small sites
55;1939;627;Small sites
126;1939;754;Small sites
40;1939;587;Small sites
51;1939;862;Small sites
41;1939;627;Small sites
49;1939;1166;Small sites
24;1939;1196;Small sites
60;1939;826;Small sites
94;1939;1128;Small sites
35;1939;435;Small sites
122;1939;670;Small sites
147;1939;867;Small sites
32;1939;414;Small sites
115;1939;662;Small sites
71;1939;571;Small sites
111;1939;684;Small sites
124;1939;889;Small sites
49;1939;491;Small sites
124;1939;935;Small sites
112;1939;835;Small sites
77;1939;645;Small sites
99;1939;759;Small sites
121;1939;837;Small sites
139;1939;915;Small sites
36;1939;550;Small sites
120;1939;979;Small sites
120;1939;1022;Small sites
26;1939;757;Small sites
14;1939;710;Small sites
24;1939;613;Small sites
43;1939;806;Small sites
36;1939;1092;Small sites
35;1939;1038;Small sites
25;1939;975;Small sites
31;1939;876;Small sites
15;1939;979;Small sites
36;1939;1126;Small sites
0;1939;953;Small sites
110;1939;1152;Small sites
99;1939;1158;Small sites
71;1939;1070;Small sites
27;1939;825;Small sites
18;1939;689;Small sites
24;1939;793;Small sites
10;1939;971;Small sites
21;1939;1038;Small sites
32;1939;1043;Small sites
31;1939;951;Small sites
11;1939;651;Small sites
5;1939;866;Small sites
85;1939;1050;Small sites
66;1939;816;Small sites
24;1939;945;Small sites
39;1939;959;Small sites
39;1939;959;Small sites
2;1939;553;Small sites
53;1939;676;Small sites
39;1939;681;Small sites
53;1939;676;Small sites
70;1939;751;Small sites
41;1939;948;Small sites
36;1939;882;Small sites
33;1939;1102;Small sites
32;1939;1043;Small sites
103;1939;1102;Small sites
19;1939;895;Small sites
19;1939;1002;Small sites
3;1939;778;Small sites
84;1939;1135;Small sites
85;1939;1100;Small sites
91;1939;1070;Small sites
91;1939;1070;Small sites
65;1939;1101;Small sites
68;1939;1076;Small sites
50;1939;589;Small sites
31;1939;980;Small sites
61;1939;974;Small sites
80;1939;1052;Small sites
96;1939;1054;Small sites
97;1939;1052;Small sites
102;1939;989;Small sites
75;1939;1214;Small sites
68;1939;858;Small sites
82;1939;950;Small sites
53;1939;1141;Small sites
76;1939;819;Small sites
97;1939;975;Small sites
68;1939;531;Small sites
58;1939;840;Small sites
70;1939;704;Small sites
49;1939;817;Small sites
42;1939;1455;Small sites
86;1939;951;Small sites
66;1939;1374;Small sites
70;1939;1030;Small sites
93;1939;1101;Small sites
43;1939;462;Small sites
80;1939;779;Small sites
46;1939;1003;Small sites
92;1939;1163;Small sites
104;1939;951;Small sites
93;1939;805;Small sites
64;1939;564;Small sites
81;1939;590;Small sites
53;1939;1176;Small sites
94;1939;1128;Small sites
59;1939;585;Small sites
63;1939;581;Small sites
120;1939;770;Small sites
97;1939;657;Small sites
141;1939;859;Small sites
70;1939;648;Small sites
105;1939;730;Small sites
99;1939;716;Small sites
158;1939;963;Small sites
43;1939;754;Small sites
127;1939;887;Small sites
149;1939;1014;Small sites
77;1939;821;Small sites
157;1939;1084;Small sites
146;1939;1118;Small sites
88;1939;854;Small sites
107;1939;893;Small sites
151;1939;1112;Small sites
135;1939;1039;Small sites
136;1939;1087;Small sites
147;1939;1153;Small sites
120;1939;1074;Small sites
149;1939;1113;Small sites
115;1939;1126;Small sites
128;1939;1108;Small sites
67;1939;1012;Small sites
126;1939;1058;Small sites
130;1939;1106;Small sites
135;1939;1181;Small sites
129;1939;1175;Small sites
117;1939;1197;Small sites
129;1939;1236;Small sites
130;1939;1247;Small sites
88;1939;1264;Small sites
114;1939;1468;Small sites
46;34251;766;Large sites
78;3698;665;Small sites
63;3241;725;Small sites
60;4510;684;Small sites
61;2699;622;Small sites
64;3420;661;Small sites
66;5107;704;Medium sites
52;3288;556;Small sites
57;9307;1176;Medium sites
89;8755;1201;Medium sites
92;3730;1123;Small sites
82;5500;950;Medium sites
46;10146;612;Large sites
65;7933;855;Medium sites
62;6168;951;Medium sites
61;14440;1042;Large sites
80;3509;944;Small sites
76;7279;1012;Medium sites
76;7958;1012;Medium sites
55;5390;1192;Medium sites
110;5645;952;Medium sites
94;5290;1117;Medium sites
80;8194;956;Medium sites
59;5014;747;Medium sites
81;6681;1189;Medium sites
88;8430;1230;Medium sites
43;8623;688;Medium sites
40;3963;986;Small sites
99;2539;1067;Small sites
76;2892;912;Small sites
89;10784;960;Large sites
94;9499;1088;Medium sites
81;6704;1330;Medium sites
88;5855;1217;Medium sites
51;2726;1515;Small sites
30;3458;1564;Small sites
72;4085;567;Small sites
35;3743;435;Small sites
107;3398;639;Small sites
82;3266;568;Small sites
82;5174;568;Medium sites
123;3342;740;Small sites
115;3783;662;Small sites
115;7048;662;Medium sites
46;2870;575;Small sites
36;10892;509;Large sites
41;10768;587;Large sites
138;3766;1036;Small sites
57;2228;504;Small sites
96;8795;1141;Medium sites
122;3583;1075;Small sites
61;3844;605;Small sites
78;3675;604;Small sites
128;5091;978;Medium sites
124;21306;1280;Large sites
36;4731;652;Small sites
117;3048;1138;Small sites
120;9021;1022;Medium sites
40;2470;673;Small sites
41;7045;683;Medium sites
81;20766;871;Large sites
25;12916;813;Large sites
24;30003;715;Large sites
41;2775;747;Small sites
19;3445;608;Small sites
24;1957;715;Small sites
41;13499;948;Large sites
0;5513;881;Medium sites
8;29307;789;Large sites
25;5746;975;Medium sites
34;6218;1042;Medium sites
31;3302;914;Small sites
31;1949;914;Small sites
18;3871;979;Small sites
18;24414;979;Large sites
37;2627;381;Small sites
37;9534;454;Medium sites
38;5346;531;Medium sites
41;27675;537;Large sites
42;10993;443;Large sites
38;7465;380;Medium sites
20;3286;850;Small sites
8;3451;789;Small sites
49;29397;1016;Large sites
71;6770;1070;Medium sites
99;3347;1158;Small sites
88;4078;1097;Small sites
31;3195;951;Small sites
36;20198;719;Large sites
20;3399;1058;Small sites
4;4701;721;Small sites
2;3566;733;Small sites
5;3831;866;Small sites
5;9505;845;Medium sites
8;3745;856;Small sites
47;1951;900;Small sites
58;1964;865;Small sites
128;1958;875;Small sites
63;1952;849;Small sites
72;3618;829;Small sites
88;1949;814;Small sites
130;1966;822;Small sites
68;2309;781;Small sites
132;1966;822;Small sites
38;1958;982;Small sites
33;1961;982;Small sites
32;1950;938;Small sites
44;1959;858;Small sites
33;13974;782;Large sites
53;3103;1046;Small sites
29;24708;836;Large sites
33;28314;836;Large sites
10;3258;716;Small sites
51;4353;901;Small sites
64;1956;925;Small sites
44;1955;809;Small sites
57;10319;1029;Large sites
91;8013;1066;Medium sites
86;6666;1018;Medium sites
68;4894;902;Small sites
44;53110;809;Large sites
66;2271;816;Small sites
72;7436;996;Medium sites
75;1946;880;Small sites
72;3615;952;Small sites
80;6082;981;Medium sites
73;5912;902;Medium sites
65;6399;834;Medium sites
79;3791;928;Small sites
66;5169;1110;Medium sites
6;3734;1078;Small sites
87;2675;1010;Small sites
11;34042;942;Large sites
39;6456;959;Medium sites
34;2621;921;Small sites
34;3379;921;Small sites
22;5627;784;Medium sites
22;3758;784;Small sites
11;1955;624;Small sites
0;8329;518;Medium sites
69;6515;706;Medium sites
114;6445;682;Medium sites
129;10698;697;Large sites
142;6934;710;Medium sites
20;3013;897;Small sites
31;2159;770;Small sites
27;36166;856;Large sites
23;1948;939;Small sites
27;9511;1070;Medium sites
31;7312;770;Medium sites
85;20508;752;Large sites
105;5182;733;Medium sites
126;3020;763;Small sites
36;1960;882;Small sites
33;3449;1040;Small sites
35;2288;1041;Small sites
34;6995;1122;Medium sites
32;5399;1043;Medium sites
69;3862;1096;Small sites
18;3503;949;Small sites
26;3284;1040;Small sites
19;4914;1002;Small sites
47;1956;918;Small sites
57;2599;818;Small sites
9;4271;813;Small sites
9;1961;813;Small sites
2;3553;763;Small sites
9;1945;813;Small sites
57;7110;862;Medium sites
13;12443;863;Large sites
85;5725;1010;Medium sites
8;4240;856;Small sites
80;3690;986;Small sites
84;9692;1065;Medium sites
102;10447;1062;Large sites
84;5080;1065;Medium sites
93;5682;1045;Medium sites
89;3432;1036;Small sites
74;3705;950;Small sites
79;3225;912;Small sites
101;4055;1013;Small sites
94;5074;1255;Medium sites
122;3707;670;Small sites
68;3936;859;Small sites
84;2955;638;Small sites
125;3449;1006;Small sites
77;4057;956;Small sites
108;3300;1014;Small sites
130;2907;1106;Small sites
114;3315;1109;Small sites
100;4622;1042;Small sites
110;3172;952;Small sites
59;4464;998;Small sites
112;19685;919;Large sites
50;3481;803;Small sites
27;5022;825;Medium sites
5;3714;807;Small sites
68;2931;988;Small sites
56;3838;906;Small sites
61;3592;925;Small sites
48;3031;858;Small sites
78;7195;954;Medium sites
90;7710;1090;Medium sites
20;3113;871;Small sites
20;2296;866;Small sites
15;4965;775;Small sites
22;3129;695;Small sites
22;2449;671;Small sites
25;5223;1125;Medium sites
31;3038;770;Small sites
43;2265;889;Small sites
